trial,common,reward_1_1,reward_1_2,reward_2_1,reward_2_2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward,slow,Subject,Condition
39,1,0.289268455,0.301615624,0.290961864,0.517098981,1,2,0.82594185,1,1,2,1,0.630900638,2,1,0,74,story
40,1,0.276685938,0.260538917,0.252219226,0.517795649,1,2,0.793993836,1,1,2,1,0.611309819,2,0,0,74,story
41,0,0.289882766,0.2836625,0.266438891,0.502429937,2,1,1.183066432,1,2,1,2,1.226008328,2,1,0,74,story
42,1,0.297506767,0.281701028,0.266133116,0.419388687,1,2,0.877805539,2,2,2,1,0.798175079,2,1,0,74,story
43,1,0.31336147,0.302702962,0.277501146,0.354160026,1,2,1.190647817,2,2,1,2,0.839358593,2,1,0,74,story
44,1,0.280230005,0.26567489,0.255864235,0.376433843,1,2,0.838994862,2,2,1,2,0.792782406,2,0,0,74,story
45,1,0.307814111,0.302235411,0.257582882,0.410857457,1,2,0.615684228,2,2,2,1,0.765904621,2,0,0,74,story
46,1,0.319528622,0.30993278,0.262595922,0.384334648,1,2,1.094066371,1,1,2,1,1.412172044,2,0,0,74,story
47,1,0.34129798,0.321839427,0.262369318,0.367410894,1,2,0.949613231,1,1,1,2,1.480676026,2,0,0,74,story
48,1,0.318082854,0.324580609,0.265061334,0.365871918,1,2,0.815284878,1,1,1,2,0.91506908,1,0,0,74,story
49,1,0.282572351,0.310230757,0.267470497,0.399144006,2,1,0.776745115,1,1,2,1,0.625063171,1,0,0,74,story
50,1,0.282369656,0.320916658,0.287193948,0.432600425,2,1,1.225257964,1,1,2,1,0.747925425,1,0,0,74,story
51,1,0.268212079,0.336708885,0.287513653,0.409789604,1,2,0.785726878,1,1,1,2,0.800519288,2,0,0,74,story
52,1,0.267555056,0.348384556,0.263902919,0.367007138,2,1,0.951087741,2,2,2,1,0.878080371,2,0,0,74,story
53,1,0.269514764,0.382819915,0.273362666,0.392662448,2,1,0.933913454,2,2,2,1,0.874088075,1,1,0,74,story
54,1,0.263445681,0.410075218,0.295734204,0.41455241,2,1,1.155432256,2,2,2,1,0.632486347,1,1,0,74,story
55,0,0.253447337,0.429378415,0.297674752,0.46665141,1,2,0.754895671,2,1,1,2,1.879331881,2,1,0,74,story
56,0,0.257925296,0.471101124,0.310357247,0.465466858,1,2,0.851712471,1,2,1,2,NaN,NaN,0,1,74,story
